YEAR,ROUND,RANK ER,TEAM ER,MP,W,D,L,GF,GA,GD,Last 5,CS%,BTTS%,FTS%,Over 1.5+ %,Over 2.5+ %,AVG,CATEGORIES 1,RANK DS,TEAM DS,GOALS,SHOTS,YELLOW CARD,RED CARD,POSSESSION,PASS%,RATING,CATEGORIES 2,RANK SC,NAME SC,TEAM SC,MP SC,G,GOALS RATIO,CATEGORIES 3,RANK A,NAME A,TEAM A,MP A,A,ASSISTS RATIO
2011/12,8th Finals,1,FC Barcelona,2,2,0,0,10,2,8,WW,42,50,17,83,75,3.75,OVERALL,1,Chelsea,25,14.8,31,1,47.6,82.5,7.19,SCORERS,1,Lionel Messi,FC Barcelona,11,14,1.27,ASSISTS,1,Lionel Messi,FC Barcelona,11,9,0.82
2011/12,8th Finals,2,Real Madrid,2,1,1,0,5,2,3,DW,50,50,0,92,75,3.66,OVERALL,2,Real Madrid,35,19.1,22,1,56.1,85.9,7.15,SCORERS,2,Mario Gomez,Bayern Munich,11,12,1.09,ASSISTS,2,Karim Benzema,Real Madrid,10,5,0.5
2011/12,8th Finals,3,Bayern Munich,2,1,0,1,7,1,6,LW,38,46,15,92,38,2.85,OVERALL,3,FC Barcelona,35,19.5,17,0,68.2,90.5,7.15,SCORERS,3,Cristiano Ronaldo,Real Madrid,10,10,1.0,ASSISTS, ,Zlatan Ibrahimović,AC Milan,8,5,0.62
2011/12,8th Finals,4,Chelsea,2,1,0,1,5,4,1,LW,38,62,0,83,62,3.47,OVERALL,4,Bayern Munich,26,19.1,27,1,55.1,86.2,7.11,SCORERS,4,Karim Benzema,Real Madrid,10,7,0.7,ASSISTS, ,Isaac Cuenca,FC Barcelona,8,5,0.62
2011/12,8th Finals,5,Milan AC,2,1,0,1,4,3,1,WL,40,50,20,80,60,3.0,OVERALL,5,Valencia CF,12,16.7,11,0,58.5,85.1,7.04,SCORERS,5,Didier Drogba ,Chelsea,8,6,0.75,ASSISTS, ,Kaká,Real Madrid,7,5,0.71
2011/12,8th Finals,6,SL Benfica,2,1,0,1,4,3,1,LW,40,52,30,70,30,2.3,OVERALL,6,Manchester United,11,14.5,8,1,59.2,84.5,7.0,SCORERS,6,Edinson Cavani,SSC Napoli,8,5,0.62,ASSISTS, ,Franck Ribéry,Bayern Munich,11,5,0.45
2011/12,8th Finals,7,Marseille,2,1,0,1,2,2,0,WL,40,20,50,50,30,1.9,OVERALL,7,Lyon,10,17.8,15,0,50.9,82.1,7.0,SCORERS, ,Seydou Doumbia,CSKA Moscow,7,5,0.71,ASSISTS,7,Costas Charalambides,APOEL Nicosie,10,4,0.4
2011/12,8th Finals,8,APOEL Nicosie,2,1,0,1,1,1,0,LW,20,50,40,70,40,2.4,OVERALL,8,Ajax Amsterdam,6,17.0,6,0,55.0,87.1,6.95,SCORERS, ,Alexander Frei,FC Basel,7,5,0.71,ASSISTS, ,Cristiano Ronaldo,Real Madrid,10,4,0.4
2011/12,8th Finals,9,Inter Milan,2,1,0,1,2,2,0,LW,13,63,25,63,50,2.35,OVERALL,9,Marseille,9,11.4,19,3,48.7,76.9,6.92,SCORERS, ,Bafétimbi Gomis,Lyon,7,5,0.71,ASSISTS, ,Fernando Torres,Chelsea,8,4,0.5
2011/12,8th Finals,10,Lyon,2,1,0,1,1,1,0,WL,50,38,63,50,25,2.25,OVERALL,10,Olympiakos,8,13.2,11,0,46.0,73.5,6.92,SCORERS, ,Zlatan Ibrahimović,AC Milan,8,5,0.62,ASSISTS, ,Nicolás Gaitán,SL Benfica,10,4,0.4
2011/12,8th Finals,11,SSC Napoli,2,1,0,1,4,5,-1,WL,25,75,0,100,50,3.13,OVERALL,11,Zenit St Petersburg,10,15.4,16,1,52.4,75.9,6.91,SCORERS, ,José Callejón,Real Madrid,4,5,1.25,ASSISTS, ,Toni Kroos,Bayern Munich,13,4,0.31
2011/12,8th Finals,12,Arsenal,2,1,0,1,3,4,-1,LW,38,50,25,75,63,2.5,OVERALL,12,SSC Napoli,14,12.1,19,1,41.7,76.3,6.88,SCORERS, ,Roman Shirokov,Zenit St Petersburg,8,5,0.62,ASSISTS, ,Ezequiel Lavezzi,SSC Napoli,8,4,0.5
2011/12,8th Finals,13,Zenit St Petersbourg,2,1,0,1,3,4,-1,WL,38,50,38,63,50,2.38,OVERALL,13,Inter Milan,10,12.5,16,0,47.0,77.6,6.87,SCORERS, ,Roberto Soldado,Valencia CF,6,5,0.83,ASSISTS, ,Marcelo,Real Madrid,11,4,0.36
2011/12,8th Finals,14,FC Basel,2,1,0,1,1,7,-6,WL,13,75,25,88,63,3.6,OVERALL,14,Arsenal,10,9.1,17,0,53.3,79.7,6.85,SCORERS,14,André Ayew,Marseille,10,4,0.4,ASSISTS, ,Mesut Özil,Real Madrid,11,4,0.36
2011/12,8th Finals,15,CSKA Moscow,2,0,1,1,2,5,-3,DL,25,63,25,88,63,2.75,OVERALL,15,Trabzonspor,3,10.2,15,0,49.6,78.9,6.85,SCORERS, ,Óscar Cardozo,SL Benfica,10,4,0.4,ASSISTS,15,Aly Cissokho,Lyon,8,3,0.38
2011/12,8th Finals,16,Bayer Leverkusen,2,0,0,2,2,10,-8,LL,13,75,13,100,63,3.5,OVERALL,16,AC Milan,16,13.8,24,1,48.5,79.8,6.83,SCORERS, ,Hulk,FC Porto,10,4,0.4,ASSISTS, ,Dani Alves,FC Barcelona,12,3,0.25
2011/12,Quarter Finals,1,Real Madrid,2,2,0,0,8,2,6,WW,50,50,0,92,75,3.66,OVERALL,17,SL Benfica,13,15.7,23,2,48.6,78.2,6.83,SCORERS, ,Manduca,APOEL Nicosie,10,4,0.4,ASSISTS, ,Alan Dzagoev,CSKA Moscow,8,3,0.38
2011/12,Quarter Finals,2,Bayern Munich,2,2,0,0,4,0,4,WW,38,46,15,92,38,2.85,OVERALL,18,CSKA Moscow,11,11.3,14,1,46.8,76.5,6.83,SCORERS, ,Pedro,FC Barcelona,12,4,0.33,ASSISTS, ,Jonas,Valencia CF,6,3,0.5
2011/12,Quarter Finals,3,FC Barcelona,2,1,1,0,3,1,2,DW,42,50,17,83,75,3.75,OVERALL,19,FC Porto,7,21.3,17,1,53.0,78.1,6.82,SCORERS, ,Arjen Robben,Bayern Munich,8,4,0.5,ASSISTS, ,Frank Lampard,Chelsea,13,3,0.23
2011/12,Quarter Finals,4,Chelsea,2,1,1,0,3,1,2,DW,38,62,0,83,62,3.47,OVERALL,20,Manchester City,9,16.0,10,0,58.0,88.3,6.81,SCORERS, ,Robin van Persie,Arsenal,8,4,0.5,ASSISTS, ,Mata,Chelsea,13,3,0.23
2011/12,Quarter Finals,5,Milan AC,2,0,1,1,1,3,-2,DL,40,50,20,80,60,3.0,OVERALL,21,Shakhtar Donetsk,6,15.0,15,2,52.1,81.0,6.81,SCORERS,21,Aílton,APOEL Nicosie,10,3,0.3,ASSISTS, ,Vágner Love,CSKA Moscow,8,3,0.38
2011/12,Quarter Finals,6,SL Benfica,2,0,1,1,1,3,-2,LW,40,52,30,70,30,2.3,OVERALL,22,Lille,6,16.2,15,0,55.5,82.3,6.8,SCORERS, ,Kevin-Prince Boateng,AC Milan,10,3,0.3,ASSISTS,22,Morgan Amalfitano,Marseille,10,2,0.2
2011/12,Quarter Finals,7,Marseille,2,0,0,2,0,4,-4,LL,40,20,50,50,30,1.9,OVERALL,23,Borussia Dortmund,6,14.0,7,0,51.8,74.1,6.71,SCORERS,,David Villa,FC Barcelona,9,3,0.33,ASSISTS, ,Holger Badstuber,Bayern Munich,8,2,0.25
2011/12,Quarter Finals,8,APOEL Nicosie,2,0,0,2,2,8,-6,LL,20,50,40,70,40,2.4,OVERALL,24,FC Basel,12,11.0,16,1,48.9,81.6,6.7,SCORERS,,Fernando Torres,Chelsea,8,3,0.38,ASSISTS, ,Michael Ballack,Bayer Leverkusen,5,2,0.4
2011/12,Semi Finals,1,Chelsea,2,1,1,0,3,2,1,WD,38,62,0,83,62,3.47,OVERALL,25,Bayer Leverkusen,10,11.4,20,0,44.9,76.1,6.64,SCORERS,,Fabian Frei,FC Basel,8,3,0.38,ASSISTS, ,Mario Balotelli,Manchester City,6,2,0.33
2011/12,Semi Finals,2,Bayern Munich,2,1,0,1,3,3,0,WL,38,46,15,92,38,2.85,OVERALL,26,APOEL Nicosia,9,6.1,25,1,41.1,72.4,6.58,SCORERS,,Gonzalo Higuaín,Real Madrid,8,3,0.38,ASSISTS, ,Bruno César,SL Benfica,10,2,0.2
2011/12,Semi Finals,3,Real Madrid,2,1,0,1,3,3,0,LW,50,50,0,92,75,3.66,OVERALL,27,KRC Genk,2,10.0,9,0,40.1,78.7,6.56,SCORERS,,Iniesta,FC Barcelona,10,3,0.3,ASSISTS, ,Sergio Busquets,FC Barcelona,12,2,0.17
2011/12,Semi Finals,4,FC Barcelona,2,0,1,1,2,3,-1,LD,42,50,17,83,75,3.75,OVERALL,28,Viktoria Plzen,4,11.5,15,1,39.1,76.5,6.55,SCORERS,,Jonas,Valencia CF,6,3,0.5,ASSISTS, ,Edinson Cavani,SSC Napoli,8,2,0.25
2011/12,Finals,1,Chelsea,1,1,0,0,1,1,0,W,38,62,0,83,62,3.47,OVERALL,29,BATE Borisov,3,10.8,8,0,41.4,78.0,6.41,SCORERS, ,Kaká,Real Madrid,7,3,0.43,ASSISTS, ,Cesc Fàbregas,FC Barcelona,10,2,0.2
2011/12,Finals,2,Bayern Munich,1,0,0,1,1,1,0,L,38,46,15,92,38,2.85,OVERALL,30,Villarreal,2,10.0,20,0,45.9,82.8,6.41,SCORERS,,Frank Lampard,Chelsea,13,3,0.23,ASSISTS, ,Ashley Cole,Chelsea,13,2,0.15
2012/13,8th Finals,1,Juventus FC,2,2,0,0,5,0,5,WW,50,30,20,90,40,2.5,OVERALL,1,Bayern Munich,31,16.8,30,1,53.0,84.6,7.12,SCORERS,1,Cristiano Ronaldo,Real Madrid,12,12,1.0,ASSISTS,1,Zlatan Ibrahimovic,Paris Saint-Germain,9,7,0.78
2012/13,8th Finals,2,Borussia Dortmund,2,1,1,0,5,2,3,DW,31,62,15,77,54,2.54,OVERALL,2,Juventus FC,17,16.4,20,0,48.5,82.0,7.09,SCORERS,2,Robert Lewandowski,Borussia Dortmund,13,10,0.77,ASSISTS,2,Mario Götze,Borussia Dortmund,11,5,0.45
2012/13,8th Finals,3,Real Madrid,2,1,1,0,3,2,1,DW,17,83,0,100,83,3.66,OVERALL,3,Paris Saint-Germain,20,13.2,22,1,47.0,83.6,7.08,SCORERS,3,Thomas Müller,Bayern Munich,13,8,0.62,ASSISTS,3,Philipp Lahm,Bayern Munich,12,4,0.33
2012/13,8th Finals,4,Paris Saint-Germain,2,1,1,0,3,2,1,WD,30,50,10,90,50,2.8,OVERALL,4,Malaga,16,10.3,23,0,48.0,77.9,7.06,SCORERS, ,Lionel Messi,FC Barcelona,11,8,0.73,ASSISTS, ,Bastian Schweinsteiger,Bayern Munich,12,4,0.33
2012/13,8th Finals,5,Galatasaray,2,1,1,0,4,3,1,DW,10,60,30,80,50,2.8,OVERALL,5,Real Madrid,26,19.3,21,2,52.3,82.0,7.05,SCORERS, ,Burak Yilmaz,Galatasaray,9,8,0.89,ASSISTS, ,Ángel Di María,Real Madrid,11,4,0.36
2012/13,8th Finals,6,FC Barcelona,2,1,0,1,4,2,2,LW,33,42,30,92,75,2.9,OVERALL,6,Schalke 04,13,17.9,17,0,53.2,80.6,7.04,SCORERS,6,Karim Benzema,Real Madrid,10,5,0.5,ASSISTS, ,Xavi  ,FC Barcelona,11,4,0.36
2012/13,8th Finals,7,Malaga,2,1,0,1,2,1,1,LW,40,40,20,70,70,2.5,OVERALL,7,Borussia Dortmund,24,14.4,14,0,46.1,78.1,7.03,SCORERS, ,Ezequiel Lavezzi,Paris Saint-Germain,9,5,0.56,ASSISTS, ,Selcuk Inan,Galatasaray,10,4,0.4
2012/13,8th Finals,8,Bayern Munich,2,1,0,1,3,3,0,WL,38,62,8,92,62,3.23,OVERALL,8,Chelsea,16,15.7,6,0,51.6,86.3,7.02,SCORERS, ,Jonas  ,Valencia CF,8,5,0.62,ASSISTS, ,Mesut Özil,Real Madrid,10,4,0.4
2012/13,8th Finals,9,Arsenal,2,1,0,1,2,3,-1,LW,25,50,25,100,63,3.0,OVERALL,9,FC Porto,11,14.4,13,1,54.7,83.6,6.95,SCORERS, ,Oscar  ,Chelsea,6,5,0.83,ASSISTS, ,Karim Benzema,Real Madrid,10,4,0.4
2012/13,8th Finals,10,FC Porto,2,1,0,1,1,2,-1,WL,63,25,25,63,38,2.13,OVERALL,10,Manchester United,11,14.6,12,1,54.4,86.4,6.89,SCORERS, ,Alan  ,Sporting Braga,6,5,0.83,ASSISTS, ,Olivier Giroud,Arsenal,7,4,0.57
2012/13,8th Finals,11,AC Milan,2,1,0,1,2,4,-2,WL,25,38,50,63,38,2.38,OVERALL,11,FC Barcelona,18,14.8,25,1,66.1,90.5,6.89,SCORERS,11,Marco Reus,Borussia Dortmund,13,4,0.31,ASSISTS, ,Christian Eriksen,Ajax Amsterdam,6,4,0.67
2012/13,8th Finals,12,Valencia CF,2,0,1,1,2,3,-1,DL,38,63,0,88,50,2.75,OVERALL,12,Valencia CF,14,9.6,19,2,52.7,85.0,6.86,SCORERS, ,Arjen Robben,Bayern Munich,9,4,0.44,ASSISTS,12,Nordin Amrabat,Galatasaray,10,3,0.3
2012/13,8th Finals,13,Manchester United,2,0,1,1,2,3,-1,DL,25,63,13,63,50,2.5,OVERALL,13,AC Milan,9,13.5,22,0,45.3,78.9,6.86,SCORERS, ,Eliseu  ,Málaga,7,4,0.57,ASSISTS, ,Andrea Pirlo,Juventus FC,10,3,0.3
2012/13,8th Finals,14,Schalke 04,2,0,1,1,3,4,-1,DL,25,75,0,88,50,2.88,OVERALL,14,Arsenal,13,7.8,26,0,53.2,83.5,6.84,SCORERS, ,Roberto Soldado,Valencia CF,7,4,0.57,ASSISTS, ,Isco  ,Málaga,8,3,0.38
2012/13,8th Finals,15,Shakhtar Donetsk,2,0,1,1,2,5,-3,DL,13,63,25,88,63,3.38,OVERALL,15,Galatasaray,14,14.3,26,0,51.9,80.5,6.84,SCORERS, ,Klaas-Jan Huntelaar,Schalke 04,7,4,0.57,ASSISTS, ,Tino Costa,Valencia CF,8,3,0.38
2012/13,8th Finals,16,Celtic,2,0,0,2,0,5,-5,LL,13,63,40,75,63,2.75,OVERALL,16,SL Benfica,5,17.8,16,0,45.1,74.9,6.83,SCORERS, ,Fabio Quagliarella,Juventus FC,7,4,0.57,ASSISTS, ,Claudio Marchisio,Juventus FC,8,3,0.38
2012/13,Quarter Finals,1,Bayern Munich,2,2,0,0,4,0,4,WW,38,62,8,92,62,3.23,OVERALL,17,Shakhtar Donetsk,14,14.8,15,0,49.7,83.5,6.83,SCORERS, ,Willian,Shakhtar Donetsk,6,4,0.67,ASSISTS, ,Charlie Mulgrew,Celtic,8,3,0.38
2012/13,Quarter Finals,2,Borussia Dortmund,2,1,1,0,3,2,1,DW,31,62,15,77,54,2.54,OVERALL,18,Manchester City,7,11.7,15,0,53.2,84.8,6.77,SCORERS, ,Kostas Mitroglou,Olympiakos,6,4,0.67,ASSISTS, ,Jefferson Farfán,Schalke 04,7,3,0.43
2012/13,Quarter Finals,3,Real Madrid,2,1,0,1,5,3,2,WL,38,54,8,92,77,3.92,OVERALL,19,Zenit St Petersburg,6,12.7,15,1,51.2,81.3,6.75,SCORERS, ,Lukas Podolski,Arsenal,6,4,0.67,ASSISTS, ,Lewis Holtby,Schalke 04,6,3,0.5
2012/13,Quarter Finals,4,FC Barcelona,2,0,2,0,3,3,0,DD,33,42,30,92,75,2.9,OVERALL,20,Olympiakos,9,11.0,13,0,43.3,73.9,6.75,SCORERS, ,Claudio Pizarro,Bayern Munich,6,4,0.67,ASSISTS, ,Rafael Bastos,CFR Cluj-Napoca,6,3,0.5
2012/13,Quarter Finals,5,Paris Saint-Germain,2,0,2,0,3,3,0,DD,30,50,10,90,50,2.8,OVERALL,21,Celtic,9,10.5,16,0,41.3,74.9,6.71,SCORERS,21,Mario Mandzukic,Bayern Munich,10,3,0.3,ASSISTS, ,Juan Mata,Chelsea,6,3,0.5
2012/13,Quarter Finals,6,Galatasaray,2,1,0,1,3,5,-2,LW,10,60,30,80,50,2.8,OVERALL,22,CFR Cluj-Napoca,9,9.8,8,1,36.3,66.2,6.71,SCORERS, ,Javier Pastore,Paris Saint-Germain,10,3,0.3,ASSISTS, ,Wayne Rooney,Manchester United,6,3,0.5
2012/13,Quarter Finals,7,Malaga,2,0,1,1,2,3,-1,DL,40,40,20,70,70,2.5,OVERALL,23,Anderlecht,4,10.3,17,1,50.5,81.9,6.69,SCORERS, ,Toni Kroos,Bayern Munich,9,3,0.33,ASSISTS, ,Modou Sougou,Marseille,5,3,0.6
2012/13,Quarter Finals,8,Juventus FC,2,0,0,2,0,4,-4,LL,50,30,20,90,40,2.5,OVERALL,24,BATE Borisov,9,9.2,16,1,46.6,81.1,6.67,SCORERS, ,Arturo Vidal,Juventus FC,9,3,0.33,ASSISTS,24,Robert Lewandowski,Borussia Dortmund,13,2,0.15
2012/13,Semi Finals,1,Bayern Munich,2,2,0,0,7,0,7,WW,38,62,8,92,62,3.23,OVERALL,25,Ajax Amsterdam,8,12.2,7,0,53.6,85.0,6.61,SCORERS, ,Zlatan Ibrahimovic,Paris Saint-Germain,9,3,0.33,ASSISTS, ,Thomas Müller,Bayern Munich,13,2,0.15
2012/13,Semi Finals,2,Borussia Dortmund,2,1,0,1,4,3,1,WL,31,62,15,77,54,2.54,OVERALL,26,Dynamo Kyiv,6,9.5,13,0,47.6,76.4,6.6,SCORERS, ,Isco  ,Málaga,8,3,0.38,ASSISTS, ,Marco Reus,Borussia Dortmund,13,2,0.15
2012/13,Semi Finals,3,Real Madrid,2,1,0,1,3,4,-1,LW,38,54,8,92,77,3.92,OVERALL,27,Sporting Braga,7,16.8,12,1,51.3,83.5,6.58,SCORERS, ,Sofiane Feghouli,Valencia CF,8,3,0.38,ASSISTS, ,Franck Ribéry,Bayern Munich,12,2,0.17
2012/13,Semi Finals,4,FC Barcelona,2,0,0,2,0,7,-7,LL,33,42,30,92,75,2.9,OVERALL,28,Montpellier,6,14.0,15,1,50.6,81.9,6.58,SCORERS, ,Jackson Martínez,FC Porto,8,3,0.38,ASSISTS, ,David Alaba,Bayern Munich,11,2,0.18
2012/13,Finals,1,Bayern Munich,1,1,0,0,2,1,1,W,38,62,8,92,62,3.23,OVERALL,29,Lille,4,13.8,16,2,45.4,80.5,6.52,SCORERS, ,Joaquín  ,Málaga,8,3,0.38,ASSISTS, ,Sami Khedira,Real Madrid,11,2,0.18
2012/13,Finals,2,Borussia Dortmund,1,0,0,1,1,2,-1,L,31,62,15,77,54,2.54,OVERALL,30,Spartak Moscow,7,9.8,16,3,46.8,79.8,6.52,SCORERS, ,Luiz Adriano,Shakhtar Donetsk,7,3,0.43,ASSISTS, ,Lionel Messi,FC Barcelona,11,2,0.18
2013/14,8th Finals,1,Real Madrid,2,2,0,0,9,2,7,WW,38,54,8,92,77,3.92,OVERALL,1,Real Madrid,41,16.2,24,1,52.1,86.2,7.31,SCORERS,1,Cristiano Ronaldo,Real Madrid,11,17,1.55,ASSISTS,1,Ángel Di María,Real Madrid,11,5,0.45
2013/14,8th Finals,2,Paris Saint-Germain,2,2,0,0,6,1,5,WW,30,60,10,100,80,3.4,OVERALL,2,FC Barcelona,21,14.8,20,0,64.2,90.2,7.19,SCORERS,2,Zlatan Ibrahimovic,Paris Saint-Germain,8,10,1.25,ASSISTS, ,Karim Benzema,Real Madrid,11,5,0.45
2013/14,8th Finals,3,Atlético Madrid,2,2,0,0,5,1,4,WW,46,54,8,77,54,2.77,OVERALL,3,Bayern Munich,24,19.9,13,2,65.2,89.7,7.15,SCORERS,3,Diego Costa,Atletico Madrid,9,8,0.89,ASSISTS, ,Wayne Rooney,Manchester United,9,5,0.56
2013/14,8th Finals,4,FC Barcelona,2,2,0,0,4,1,3,WW,30,60,10,80,50,2.9,OVERALL,4,Paris Saint-Germain,25,11.8,19,1,59.8,89.7,7.12,SCORERS, ,Lionel Messi,FC Barcelona,7,8,1.14,ASSISTS,4,Gareth Bale,Real Madrid,12,4,0.33
2013/14,8th Finals,5,Bayern Munich,2,1,1,0,3,1,2,WD,33,50,17,83,58,3.08,OVERALL,5,Atletico Madrid,26,13.9,34,0,46.2,76.6,7.06,SCORERS,5,Gareth Bale,Real Madrid,12,6,0.5,ASSISTS, ,Philipp Lahm,Bayern Munich,12,4,0.33
2013/14,8th Finals,6,Chelsea,2,1,1,0,3,1,2,DW,58,33,17,75,50,2.42,OVERALL,6,Chelsea,19,12.1,25,0,49.7,82.2,7.0,SCORERS, ,Robert Lewandowski,Borussia Dortmund,9,6,0.67,ASSISTS, ,Raúl García,Atletico Madrid,12,4,0.33
2013/14,8th Finals,7,Borussia Dortmund,2,1,0,1,5,4,1,WL,20,60,20,90,80,3.1,OVERALL,7,Manchester United,17,10.2,16,1,49.8,80.5,7.0,SCORERS, ,Sergio Agüero,Manchester City,6,6,1.0,ASSISTS, ,Gabi  ,Atletico Madrid,12,4,0.33
2013/14,8th Finals,8,Manchester United,2,1,0,1,3,2,1,LW,50,40,20,70,40,2.6,OVERALL,8,Borussia Dortmund,18,14.5,19,1,47.3,78.9,6.93,SCORERS,8,Thomas Müller,Bayern Munich,12,5,0.42,ASSISTS, ,Cristiano Ronaldo,Real Madrid,11,4,0.36
2013/14,8th Finals,9,Zenit St Petersburg,2,1,0,1,4,5,-1,LW,33,67,8,75,58,3.33,OVERALL,9,Manchester City,19,13.9,21,2,48.4,83.1,6.86,SCORERS, ,Karim Benzema,Real Madrid,11,5,0.45,ASSISTS, ,Oscar  ,Chelsea,10,4,0.4
