year,team_names_detailed_stats,total_goals,shots_average,yellow_card,red_card,ball_possession_percentage,pass_accuracy_percentage,team_rating
2011/12,FC Barcelona,35,19.5,17,0,68.2,90.5,7.15
2011/12,Real Madrid,35,19.1,22,1,56.1,85.9,7.15
2011/12,Bayern Munich,26,19.1,27,1,55.1,86.2,7.11
2011/12,Chelsea,25,14.8,31,1,47.6,82.5,7.19
2011/12,Milan AC,16,13.8,24,1,48.5,79.8,6.83
2011/12,SL Benfica,13,15.7,23,2,48.6,78.2,6.83
2011/12,Marseille,9,11.4,19,3,48.7,76.9,6.92
2011/12,APOEL Nicosie,9,6.1,25,1,41.1,72.4,6.58
2011/12,Inter Milan,10,12.5,16,0,47.0,77.6,6.87
2011/12,Lyon,10,17.8,15,0,50.9,82.1,7.0
2011/12,SSC Napoli,14,12.1,19,1,41.7,76.3,6.88
2011/12,Arsenal,10,9.1,17,0,53.3,79.7,6.85
2011/12,Zenit St Petersburg,10,15.4,16,1,52.4,75.9,6.91
2011/12,FC Basel,12,11.0,16,1,48.9,81.6,6.7
2011/12,CSKA Moscow,11,11.3,14,1,46.8,76.5,6.83
2011/12,Bayer Leverkusen,10,11.4,20,0,44.9,76.1,6.64
2011/12,Real Madrid,35,19.1,22,1,56.1,85.9,7.15
2011/12,Bayern Munich,26,19.1,27,1,55.1,86.2,7.11
2011/12,FC Barcelona,35,19.5,17,0,68.2,90.5,7.15
2011/12,Chelsea,25,14.8,31,1,47.6,82.5,7.19
2011/12,Milan AC,16,13.8,24,1,48.5,79.8,6.83
2011/12,SL Benfica,13,15.7,23,2,48.6,78.2,6.83
2011/12,Marseille,9,11.4,19,3,48.7,76.9,6.92
2011/12,APOEL Nicosie,9,6.1,25,1,41.1,72.4,6.58
2011/12,Chelsea,25,14.8,31,1,47.6,82.5,7.19
2011/12,Bayern Munich,26,19.1,27,1,55.1,86.2,7.11
2011/12,Real Madrid,35,19.1,22,1,56.1,85.9,7.15
2011/12,FC Barcelona,35,19.5,17,0,68.2,90.5,7.15
2011/12,Chelsea,25,14.8,31,1,47.6,82.5,7.19
2011/12,Bayern Munich,26,19.1,27,1,55.1,86.2,7.11
2012/13,Juventus FC,17,16.4,20,0,48.5,82.0,7.09
2012/13,Borussia Dortmund,24,14.4,14,0,46.1,78.1,7.03
2012/13,Real Madrid,26,19.3,21,2,52.3,82.0,7.05
2012/13,Paris Saint-Germain,20,13.2,22,1,47.0,83.6,7.08
2012/13,Galatasaray,14,14.3,26,0,51.9,80.5,6.84
2012/13,FC Barcelona,18,14.8,25,1,66.1,90.5,6.89
2012/13,Malaga,16,10.3,23,0,48.0,77.9,7.06
2012/13,Bayern Munich,31,16.8,30,1,53.0,84.6,7.12
2012/13,Arsenal,13,7.8,26,0,53.2,83.5,6.84
2012/13,FC Porto,11,14.4,13,1,54.7,83.6,6.95
2012/13,AC Milan,9,13.5,22,0,45.3,78.9,6.86
2012/13,Valencia CF,14,9.6,19,2,52.7,85.0,6.86
2012/13,Manchester United,11,14.6,12,1,54.4,86.4,6.89
2012/13,Schalke 04,13,17.9,17,0,53.2,80.6,7.04
2012/13,Shakhtar Donetsk,14,14.8,15,0,49.7,83.5,6.83
2012/13,Celtic,9,10.5,16,0,41.3,74.9,6.71
2012/13,Bayern Munich,31,16.8,30,1,53.0,84.6,7.12
2012/13,Borussia Dortmund,24,14.4,14,0,46.1,78.1,7.03
2012/13,Real Madrid,26,19.3,21,2,52.3,82.0,7.05
2012/13,FC Barcelona,18,14.8,25,1,66.1,90.5,6.89
2012/13,Paris Saint-Germain,20,13.2,22,1,47.0,83.6,7.08
2012/13,Galatasaray,14,14.3,26,0,51.9,80.5,6.84
2012/13,Malaga,16,10.3,23,0,48.0,77.9,7.06
2012/13,Juventus FC,17,16.4,20,0,48.5,82.0,7.09
2012/13,Bayern Munich,31,16.8,30,1,53.0,84.6,7.12
2012/13,Borussia Dortmund,24,14.4,14,0,46.1,78.1,7.03
2012/13,Real Madrid,26,19.3,21,2,52.3,82.0,7.05
2012/13,FC Barcelona,18,14.8,25,1,66.1,90.5,6.89
2012/13,Bayern Munich,31,16.8,30,1,53.0,84.6,7.12
2012/13,Borussia Dortmund,24,14.4,14,0,46.1,78.1,7.03
2013/14,Real Madrid,41,16.2,24,1,52.1,86.2,7.31
2013/14,Paris Saint-Germain,25,11.8,19,1,59.8,89.7,7.12
2013/14,Atletico Madrid,26,13.9,34,0,46.2,76.6,7.06
2013/14,FC Barcelona,21,14.8,20,0,64.2,90.2,7.19
2013/14,Bayern Munich,24,19.9,13,2,65.2,89.7,7.15
2013/14,Chelsea,19,12.1,25,0,49.7,82.2,7.0
2013/14,Borussia Dortmund,18,14.5,19,1,47.3,78.9,6.93
2013/14,Manchester United,17,10.2,16,1,49.8,80.5,7.0
2013/14,Zenit St Petersburg,9,13.4,16,1,55.7,80.9,6.79
2013/14,Olympiakos,12,12.3,21,0,45.7,76.6,6.86
2013/14,Arsenal,9,8.4,11,2,49.9,82.9,6.8
2013/14,Galatasaray,9,10.3,14,0,51.0,82.0,6.7
2013/14,Manchester City,19,13.9,21,2,48.4,83.1,6.86
2013/14,AC Milan,9,9.5,18,1,44.7,80.5,6.79
2013/14,Bayer Leverkusen,10,13.4,19,2,45.9,81.1,6.69
2013/14,Schalke 04,8,12.8,18,0,49.7,83.4,6.72
2013/14,Bayern Munich,24,19.9,13,2,65.2,89.7,7.15
2013/14,Atletico Madrid,26,13.9,34,0,46.2,76.6,7.06
2013/14,Real Madrid,41,16.2,24,1,52.1,86.2,7.31
2013/14,Chelsea,19,12.1,25,0,49.7,82.2,7.0
2013/14,Paris Saint-Germain,25,11.8,19,1,59.8,89.7,7.12
2013/14,Borussia Dortmund,18,14.5,19,1,47.3,78.9,6.93
2013/14,FC Barcelona,21,14.8,20,0,64.2,90.2,7.19
2013/14,Manchester United,17,10.2,16,1,49.8,80.5,7.0
2013/14,Real Madrid,41,16.2,24,1,52.1,86.2,7.31
2013/14,Atletico Madrid,26,13.9,34,0,46.2,76.6,7.06
2013/14,Chelsea,19,12.1,25,0,49.7,82.2,7.0
2013/14,Bayern Munich,24,19.9,13,2,65.2,89.7,7.15
2013/14,Real Madrid,41,16.2,24,1,52.1,86.2,7.31
2013/14,Atletico Madrid,26,13.9,34,0,46.2,76.6,7.06
2014/15,Juventus FC,17,12.7,25,0,54.1,84.1,6.94
2014/15,FC Barcelona,32,14.8,18,1,58.6,88.2,7.22
2014/15,Bayern Munich,33,17.2,24,2,60.7,87.9,7.1
2014/15,FC Porto,25,12.9,19,1,55.7,82.3,7.09
2014/15,Real Madrid,24,18.7,21,0,55.7,88.1,7.24
2014/15,Arsenal,18,12.6,14,1,55.6,84.9,7.1
2014/15,AS Monaco,7,9.7,22,0,44.9,74.9,6.92
2014/15,Atletico Madrid,15,12.6,28,2,45.3,75.8,7.11
2014/15,Bayer Leverkusen,8,13.9,19,2,51.6,71.7,6.91
2014/15,Schalke 04,13,14.3,11,0,50.8,83.9,6.75
2014/15,Chelsea,18,15.0,13,0,52.9,86.2,7.21
2014/15,Paris Saint-Germain,13,11.9,14,1,49.4,87.6,6.94
2014/15,FC Basel,8,11.9,22,2,46.2,81.1,6.67
2014/15,Shakhtar Donetsk,15,8.9,20,1,47.4,79.3,6.9
2014/15,Manchester City,10,12.0,19,3,48.4,84.4,6.75
2014/15,Borussia Dortmund,15,14.6,4,0,52.1,83.1,7.0
2014/15,FC Barcelona,32,14.8,18,1,58.6,88.2,7.22
2014/15,Juventus FC,17,12.7,25,0,54.1,84.1,6.94
2014/15,Real Madrid,24,18.7,21,0,55.7,88.1,7.24
2014/15,Bayern Munich,33,17.2,24,2,60.7,87.9,7.1
2014/15,FC Porto,25,12.9,19,1,55.7,82.3,7.09
2014/15,Atletico Madrid,15,12.6,28,2,45.3,75.8,7.11
2014/15,AS Monaco,7,9.7,22,0,44.9,74.9,6.92
2014/15,Paris Saint-Germain,13,11.9,14,1,49.4,87.6,6.94
2014/15,Juventus FC,17,12.7,25,0,54.1,84.1,6.94
2014/15,FC Barcelona,32,14.8,18,1,58.6,88.2,7.22
2014/15,Bayern Munich,33,17.2,24,2,60.7,87.9,7.1
2014/15,Real Madrid,24,18.7,21,0,55.7,88.1,7.24
2014/15,FC Barcelona,32,14.8,18,1,58.6,88.2,7.22
2014/15,Juventus FC,17,12.7,25,0,54.1,84.1,6.94
2015/16,FC Barcelona,22,16.8,23,0,64.8,87.7,7.17
2015/16,Real Madrid,27,21.2,24,0,54.6,88.2,7.22
2015/16,Paris Saint-Germain,18,13.8,22,0,60.7,89.3,7.13
2015/16,VfL Wolfsburg,15,12.7,18,0,48.3,81.6,6.9
2015/16,SL Benfica,15,13.4,28,1,49.6,80.0,6.9
2015/16,Bayern Munich,30,21.7,20,1,66.6,89.6,7.13
2015/16,Manchester City,18,13.0,15,0,48.5,82.6,6.92
2015/16,Atletico Madrid,17,15.0,21,1,48.0,79.8,7.12
2015/16,PSV Eindhoven,8,9.0,18,2,47.3,78.6,6.91
2015/16,Juventus FC,10,16.0,14,1,43.6,81.8,6.92
2015/16,Dynamo Kyiv,9,11.9,18,0,50.4,81.0,6.76
2015/16,Chelsea,15,13.8,15,0,48.8,81.4,7.09
2015/16,KAA Gent,10,10.5,18,2,52.2,80.7,6.74
2015/16,Zenit St Petersburg,14,10.4,23,2,44.3,77.3,6.91
2015/16,Arsenal,13,13.1,15,1,46.5,82.5,6.94
2015/16,AS Roma,11,14.3,10,0,44.5,78.3,6.69
2015/16,Bayern Munich,30,21.7,20,1,66.6,89.6,7.13
2015/16,Manchester City,18,13.0,15,0,48.5,82.6,6.92
2015/16,Atletico Madrid,17,15.0,21,1,48.0,79.8,7.12
2015/16,Real Madrid,27,21.2,24,0,54.6,88.2,7.22
2015/16,FC Barcelona,22,16.8,23,0,64.8,87.7,7.17
2015/16,VfL Wolfsburg,15,12.7,18,0,48.3,81.6,6.9
2015/16,SL Benfica,15,13.4,28,1,49.6,80.0,6.9
2015/16,Paris Saint-Germain,18,13.8,22,0,60.7,89.3,7.13
2015/16,Real Madrid,27,21.2,24,0,54.6,88.2,7.22
2015/16,Atletico Madrid,17,15.0,21,1,48.0,79.8,7.12
2015/16,Bayern Munich,30,21.7,20,1,66.6,89.6,7.13
2015/16,Manchester City,18,13.0,15,0,48.5,82.6,6.92
2015/16,Real Madrid,27,21.2,24,0,54.6,88.2,7.22
2015/16,Atletico Madrid,17,15.0,21,1,48.0,79.8,7.12
2016/17,Bayern Munich,27,19.3,16,2,61.9,88.6,7.06
2016/17,Real Madrid,36,19.5,19,0,53.5,87.2,7.11
2016/17,Juventus FC,22,13.8,27,2,54.0,85.5,6.98
2016/17,Atletico Madrid,15,13.3,21,0,48.5,80.1,7.01
2016/17,Borussia Dortmund,28,15.4,19,0,59.3,86.2,6.99
2016/17,FC Barcelona,26,13.1,25,1,60.5,87.4,7.03
2016/17,Leicester City,11,10.7,19,0,42.2,71.0,6.8
2016/17,Manchester City,18,13.1,14,2,54.8,85.8,6.88
2016/17,AS Monaco,22,12.2,28,0,46.4,78.9,6.88
2016/17,Paris Saint-Germain,18,15.4,15,1,54.1,87.9,6.9
2016/17,Sevilla FC,9,13.0,15,2,57.1,83.5,6.92
2016/17,SL Benfica,11,11.1,13,0,45.8,79.6,6.72
2016/17,Bayer Leverkusen,10,13.3,16,0,50.6,76.8,6.94
2016/17,FC Porto,9,13.3,15,2,49.9,81.9,6.83
2016/17,SSC Napoli,13,13.5,10,0,52.4,85.5,6.62
2016/17,Arsenal,20,11.8,13,2,49.1,84.9,6.93
2016/17,AS Monaco,22,12.2,28,0,46.4,78.9,6.88
2016/17,Real Madrid,36,19.5,19,0,53.5,87.2,7.11
2016/17,Juventus FC,22,13.8,27,2,54.0,85.5,6.98
2016/17,Atletico Madrid,15,13.3,21,0,48.5,80.1,7.01
2016/17,Leicester City,11,10.7,19,0,42.2,71.0,6.8
2016/17,FC Barcelona,26,13.1,25,1,60.5,87.4,7.03
2016/17,Bayern Munich,27,19.3,16,2,61.9,88.6,7.06
2016/17,Borussia Dortmund,28,15.4,19,0,59.3,86.2,6.99
2016/17,Juventus FC,22,13.8,27,2,54.0,85.5,6.98
2016/17,Real Madrid,36,19.5,19,0,53.5,87.2,7.11
2016/17,Atletico Madrid,15,13.3,21,0,48.5,80.1,7.01
2016/17,AS Monaco,22,12.2,28,0,46.4,78.9,6.88
2016/17,Real Madrid,36,19.5,19,0,53.5,87.2,7.11
2016/17,Juventus FC,22,13.8,27,2,54.0,85.5,6.98
2017/18,Bayern Munich,26,18.8,23,0,56.3,86.5,7.0
2017/18,Real Madrid,33,17.3,21,0,55.8,88.6,7.09
2017/18,Liverpool FC,41,15.7,20,1,50.1,81.1,7.13
2017/18,FC Barcelona,17,12.9,17,1,61.1,87.9,6.9
2017/18,Juventus FC,14,12.7,25,2,49.5,84.1,6.78
2017/18,Sevilla FC,15,15.9,19,1,55.6,84.7,6.82
2017/18,Manchester City,20,13.5,19,0,62.6,89.2,6.99
2017/18,AS Roma,21,14.5,15,1,50.8,82.6,6.85
2017/18,Shakhtar Donetsk,11,10.8,15,2,48.6,83.9,6.73
2017/18,FC Basel,13,10.4,14,0,39.1,75.7,6.83
2017/18,Tottenham Hotspur FC,18,14.6,11,1,49.6,83.5,6.99
2017/18,Manchester United,13,14.0,10,0,55.3,84.4,7.01
2017/18,Chelsea,17,15.6,10,0,47.2,84.1,6.84
2017/18,FC Porto,15,12.6,14,1,46.3,77.1,6.82
2017/18,Paris Saint-Germain,27,15.3,11,1,53.2,88.7,7.24
2017/18,Besiktas,12,10.3,20,1,48.5,76.6,6.8
2017/18,Liverpool FC,41,15.7,20,1,50.1,81.1,7.13
2017/18,Bayern Munich,26,18.8,23,0,56.3,86.5,7.0
2017/18,Real Madrid,33,17.3,21,0,55.8,88.6,7.09
2017/18,AS Roma,21,14.5,15,1,50.8,82.6,6.85
2017/18,FC Barcelona,17,12.9,17,1,61.1,87.9,6.9
2017/18,Juventus FC,14,12.7,25,2,49.5,84.1,6.78
2017/18,Sevilla FC,15,15.9,19,1,55.6,84.7,6.82
2017/18,Manchester City,20,13.5,19,0,62.6,89.2,6.99
2017/18,Real Madrid,33,17.3,21,0,55.8,88.6,7.09
2017/18,Liverpool FC,41,15.7,20,1,50.1,81.1,7.13
2017/18,AS Roma,21,14.5,15,1,50.8,82.6,6.85
2017/18,Bayern Munich,26,18.8,23,0,56.3,86.5,7.0
2017/18,Real Madrid,33,17.3,21,0,55.8,88.6,7.09
2017/18,Liverpool FC,41,15.7,20,1,50.1,81.1,7.13